,Energy & Transportation,Manufacturing,Industrial Applications & Services,Financials,Life Sciences,Real Estate & Construction,Trade & Services,Technology,No Industry,None Industry
OSUR,0,0,0,0,1,0,0,0,0,0
CAL,0,0,0,0,0,0,1,0,0,0
BC,0,0,0,0,0,0,0,1,0,0
DXYN,0,1,0,0,0,0,0,0,0,0
UIS,0,0,0,0,0,0,0,1,0,0
WSFS,0,0,0,1,0,0,0,0,0,0
ITIC,0,0,0,1,0,0,0,0,0,0
CERN,0,0,0,0,0,0,0,1,0,0
FFKT,0,0,0,0,0,0,0,0,0,1
WBS,0,0,0,0,0,0,0,0,0,1
MKL,0,0,0,1,0,0,0,0,0,0
CDR,0,0,0,0,0,1,0,0,0,0
AXGN,0,0,0,0,1,0,0,0,0,0
WPZ,1,0,0,0,0,0,0,0,0,0
FLIC,0,0,0,0,0,0,0,0,0,1
FBP,0,0,0,0,0,0,0,0,0,1
PMD,0,0,1,0,0,0,0,0,0,0
AVD,0,0,1,0,0,0,0,0,0,0
PLAB,0,1,0,0,0,0,0,0,0,0
CRMT,0,0,0,0,0,0,1,0,0,0
GASL,0,0,0,0,0,0,0,0,1,0
AGII,0,0,0,1,0,0,0,0,0,0
ARGO,0,0,0,1,0,0,0,0,0,0
OFG,0,0,0,0,0,0,0,0,0,1
RETL,0,0,0,0,0,0,0,0,1,0
CATO,0,0,0,0,0,0,1,0,0,0
REPR,0,0,1,0,0,0,0,0,0,0
KRMD,0,0,1,0,0,0,0,0,0,0
FBNC,0,0,0,0,0,0,0,0,0,1
ICCC,0,0,0,0,1,0,0,0,0,0
WSBC,0,0,0,0,0,0,0,0,0,1
KO,0,1,0,0,0,0,0,0,0,0
SAFM,0,1,0,0,0,0,0,0,0,0
CNBKA,0,0,0,0,0,0,0,0,0,1
ECT,0,0,0,0,0,0,0,0,1,0
SCIN,0,0,0,0,0,0,0,0,1,0
AIRT,1,0,0,0,0,0,0,0,0,0
UBSI,0,0,0,0,0,0,0,0,0,1
ENV,0,0,0,1,0,0,0,0,0,0
CCC,0,0,1,0,0,0,0,0,0,0
DXLG,0,0,0,0,0,0,1,0,0,0
KOOL,0,0,1,0,0,0,0,0,0,0
THMO,0,0,1,0,0,0,0,0,0,0
WASH,0,0,0,0,0,0,0,0,0,1
CDNS,0,0,0,0,0,0,0,1,0,0
ED,1,0,0,0,0,0,0,0,0,0
LIT,0,0,0,0,0,0,0,0,1,0
NHLD,0,0,0,1,0,0,0,0,0,0
CHCO,0,0,0,0,0,0,0,0,0,1
EBIX,0,0,0,0,0,0,0,1,0,0
CECE,0,0,0,0,0,0,0,1,0,0
CPSH,0,1,0,0,0,0,0,0,0,0
FICO,0,0,0,0,0,0,0,1,0,0
CNMD,0,0,1,0,0,0,0,0,0,0
CELG,0,0,0,0,1,0,0,0,0,0
HBNC,0,0,0,0,0,0,0,0,0,1
ATU,0,0,0,0,0,0,0,1,0,0
EPAC,0,0,0,0,0,0,0,1,0,0
ATRI,0,0,1,0,0,0,0,0,0,0
SNFCA,0,0,0,1,0,0,0,0,0,0
XRAY,0,0,1,0,0,0,0,0,0,0
FAST,0,0,0,0,0,0,1,0,0,0
CPF,0,0,0,0,0,0,0,0,0,1
HRTX,0,0,0,0,1,0,0,0,0,0
LABL,0,1,0,0,0,0,0,0,0,0
CRK,1,0,0,0,0,0,0,0,0,0
NAII,0,0,0,0,1,0,0,0,0,0
GDOT,0,0,0,0,0,0,1,0,0,0
DTE,1,0,0,0,0,0,0,0,0,0
MATX,1,0,0,0,0,0,0,0,0,0
IMKTA,0,0,0,0,0,0,1,0,0,0
CBM,0,0,0,0,1,0,0,0,0,0
AIN,0,1,0,0,0,0,0,0,0,0
DGICB,0,0,0,1,0,0,0,0,0,0
IIVI,0,0,1,0,0,0,0,0,0,0
ETN,0,0,0,0,0,0,0,0,1,0
JOUT,0,1,0,0,0,0,0,0,0,0
SIVB,0,0,0,0,0,0,0,0,0,1
ALCO,0,0,1,0,0,0,0,0,0,0
MITK,0,0,0,0,0,0,0,1,0,0
CLH,1,0,0,0,0,0,0,0,0,0
CYBE,0,0,1,0,0,0,0,0,0,0
CTBI,0,0,0,0,0,0,0,0,0,1
WPP,0,0,0,0,0,0,1,0,0,0
XOM,1,0,0,0,0,0,0,0,0,0
IPAR,0,0,1,0,0,0,0,0,0,0
MGM,0,0,0,0,0,0,1,0,0,0
MXIM,0,1,0,0,0,0,0,0,0,0
WM,1,0,0,0,0,0,0,0,0,0
KKR,0,0,0,1,0,0,0,0,0,0
CHFC,0,0,0,0,0,0,0,0,0,1
COKE,0,1,0,0,0,0,0,0,0,0
EMLC,0,0,0,0,0,0,0,0,1,0
WMLP,1,0,0,0,0,0,0,0,0,0
DY,0,0,0,0,0,1,0,0,0,0
