Date,Diagonal
2019-01-02,0.0022805680802719342
2019-01-03,-0.020158246479269382
2019-01-04,0.03393205880233697
2019-01-07,0.00966432219284393
2019-01-08,0.010434427267047398
2019-01-09,0.009095591006186024
2019-01-10,0.006560672016684415
2019-01-11,-0.00010204999399967838
2019-01-14,-0.005408230804948862
2019-01-15,0.010029322323711736
2019-01-16,0.0034458324837278575
2019-01-17,0.007142010174490184
2019-01-18,0.01200559507076271
2019-01-22,-0.014008177375407353
2019-01-23,0.0015728183221203921
2019-01-24,0.0031049887032310037
2019-01-25,0.009899000079878019
2019-01-28,-0.0063466277167763645
2019-01-29,-0.0008713267848713368
2019-01-30,0.014827539399249284
2019-01-31,0.009116376025836535
2019-02-01,0.001401086219714642
2019-02-04,0.006786495691645639
2019-02-05,0.0048014205602925205
2019-02-06,-0.00247215906317443
2019-02-07,-0.008738002624829872
2019-02-08,0.0008355586456221149
2019-02-11,0.0012019758308625338
2019-02-12,0.012478348814852375
2019-02-13,0.002811754520482569
2019-02-14,-0.0010671010317213141
2019-02-15,0.01070143132651809
2019-02-19,0.0025782154750799437
2019-02-20,0.0022385347689022183
2019-02-21,-0.0034026377581890337
2019-02-22,0.007144818405204578
2019-02-25,0.0018232149207652593
2019-02-26,-0.001310718860229922
2019-02-27,0.0007326581960262145
2019-02-28,-0.002709140326883386
2019-03-01,0.006066508926295298
2019-03-04,-0.0037646911800790213
2019-03-05,-0.0009398142252533951
2019-03-06,-0.007717392073064067
2019-03-07,-0.007766045987543518
2019-03-08,-0.0018417752444452832
2019-03-11,0.014669683609950634
2019-03-12,0.0027379457348098886
2019-03-13,0.006524663215618737
2019-03-14,-0.0010051379107771895
2019-03-15,0.0049160717555093575
2019-03-18,0.004638169093597692
2019-03-19,-0.0004975348940337238
2019-03-20,-0.0029408883046890774
2019-03-21,0.010214486883131953
2019-03-22,-0.020437624548229893
2019-03-25,-9.977800007241524e-05
2019-03-26,0.008804477656427643
2019-03-27,-0.004685071131856607
2019-03-28,0.00415100044447155
2019-03-29,0.006328250682848429
2019-04-01,0.011279205830607103
2019-04-02,-2.950790634279752e-05
2019-04-03,0.0025335067704430805
2019-04-04,0.002058478928303555
2019-04-05,0.005354625292103184
2019-04-08,0.0011895883934291325
2019-04-09,-0.006185904347369115
2019-04-10,0.004714471428439745
2019-04-11,-0.0004311427670035631
2019-04-12,0.006566978426934601
2019-04-15,-0.0011860806620959108
2019-04-16,0.0009770086970625333
2019-04-17,-0.0027134146804940955
2019-04-18,0.001184007323320602
2019-04-22,0.0005787902105120124
2019-04-23,0.008964060008460695
2019-04-24,-0.0021863620929663415
2019-04-25,-0.0011659966930546535
2019-04-26,0.005446594889672165
2019-04-29,0.0015036447576452403
2019-04-30,0.0006359420064624823
2019-05-01,-0.007212355229518009
2019-05-02,-0.0013703404416899369
2019-05-03,0.011098789626942263
2019-05-06,-0.004046905016349929
2019-05-07,-0.016094523351608894
2019-05-08,-0.0014885595181415151
2019-05-09,-0.0026362834629735043
2019-05-10,0.004061118085381572
2019-05-13,-0.0243681354704756
2019-05-14,0.009263308419601511
2019-05-15,0.00580804825931288
2019-05-16,0.008327774807338002
2019-05-17,-0.007171067850673848
2019-05-20,-0.006519617629897084
2019-05-21,0.009129085002706393
2019-05-22,-0.0037313007576283775
2019-05-23,-0.012659095790489029
2019-05-24,0.0029812820165731574
2019-05-28,-0.007175774771204496
2019-05-29,-0.0066760979578016555
2019-05-30,0.0014081450586780446
2019-05-31,-0.011377093434360335
2019-06-03,-0.0016324911412886316
2019-06-04,0.02088641862245785
2019-06-05,0.0060996805716686765
2019-06-06,0.005201159078734164
2019-06-07,0.00994772655024705
2019-06-10,0.00518557783832103
2019-06-11,-9.162414911050982e-05
2019-06-12,-0.0018573597179294204
2019-06-13,0.004860601084555861
2019-06-14,-0.0029271980759526636
2019-06-17,0.001671570446495119
2019-06-18,0.010515241607107878
2019-06-19,0.0037915447305040604
2019-06-20,0.00903697585333479
2019-06-21,-0.0023324481632869877
2019-06-24,-0.0026765867844140063
2019-06-25,-0.008953622539880893
2019-06-26,-0.0005928370615298853
2019-06-27,0.00578849564202149
2019-06-28,0.006597390098607705
2019-07-01,0.006968842221925797
2019-07-02,0.002175298345321931
2019-07-03,0.007561769078709164
2019-07-05,-0.0011341530324131682
2019-07-08,-0.005485472099394041
2019-07-09,0.0018591896164737844
2019-07-10,0.0041176698165667075
2019-07-11,0.001326704999404818
2019-07-12,0.004752125145532126
2019-07-15,0.0001104535027298695
2019-07-16,-0.0028865449464003804
2019-07-17,-0.0052396554948895765
2019-07-18,0.003451872130164067
2019-07-19,-0.00534013930949648
2019-07-22,0.002396682672840886
2019-07-23,0.006412881704067015
2019-07-24,0.006018629562577381
2019-07-25,-0.006269620074423436
2019-07-26,0.00738600250999869
2019-07-29,-0.0023180066933841184
2019-07-30,-0.0013800749316461261
2019-07-31,-0.009545438605353155
2019-08-01,-0.008879347453792841
2019-08-02,-0.007775545542903554
2019-08-05,-0.02830375364150437
2019-08-06,0.01196677392508147
2019-08-07,0.0017460347401537077
2019-08-08,0.018746976409234724
2019-08-09,-0.007041872436896418
2019-08-12,-0.011961744350501045
2019-08-13,0.013596278202943327
2019-08-14,-0.027616010400207554
2019-08-15,0.002091886089876542
2019-08-16,0.015086665907524647
2019-08-19,0.01080824261167348
2019-08-20,-0.0064932390144737855
2019-08-21,0.007953406738155666
2019-08-22,-0.001288422101057806
2019-08-23,-0.023980953316593667
2019-08-26,0.009838324808346429
2019-08-27,-0.0035114777858061066
